tick,theta1_rad,theta2_rad,x,y,ds2_total,target_term,obs_term,reg_term,grad_norm,C,S,ds2_CS,d_obs,delta_theta1,delta_theta2,delta_theta_sq
99,-0.5169748946549947,1.5367997538576164,1.2535501530877202,0.3219873500525144,0.05593139296125754,0.003351062458050081,0.0,0.05258033050320746,7.618802696093706e-05,0,2,4,0.6902218383855441,4.7337015356871405e-06,-7.821670683602066e-06,8.358646251168681e-11
100,-0.516970160953459,1.5367919321869328,1.2535546266568436,0.32198959869910976,0.05593139229032363,0.0033516404873017965,0.0,0.05257975180302183,7.05834959049737e-05,0,2,4,0.6902267974768569,4.385466525731463e-06,-7.2463034595371395e-06,7.17412304760111e-11
101,-0.5169657754869333,1.5367846858834733,1.2535587711343394,0.32199168191005634,0.0559313917144691,0.0033521760386536568,0.0,0.052579215675815444,6.539129966758436e-05,0,2,4,0.6902313917548836,4.0628539134951455e-06,-6.713265667132872e-06,6.15747178399078e-11
102,-0.5169617126330198,1.5367779726178061,1.2535626107331215,0.32199361185972175,0.05593139122021918,0.0033526722311839983,0.0,0.052578718989035184,6.0581094254023845e-05,0,2,4,0.6902356480614562,3.7639778233775065e-06,-6.2194424405839775e-06,5.2848993326614854e-11
103,-0.5169579486551964,1.5367717531753655,1.2535661678841064,0.3219953998261295,0.05593139079600908,0.0033531319552995704,0.0,0.05257825884070951,5.6124769812242956e-05,0,2,4,0.6902395912628303,3.4870912753004467e-06,-5.7619482263376876e-06,4.535985292527252e-11
104,-0.5169544615639211,1.5367659912271392,1.2535694633674366,0.3219970562570161,0.05593139043191297,0.0033535578894494647,0.0,0.0525778325424635,5.199628598365804e-05,0,2,4,0.6902432443951768,3.2305759416245694e-06,-5.338109887699505e-06,3.8932038087758695e-11
105,-0.5169512309879795,1.5367606531172515,1.253572516434032,0.3219985908310086,0.05593139011941174,0.0033539525156247594,0.0,0.05257743760378698,4.817151940918553e-05,0,2,4,0.6902466287993492,2.992932662114339e-06,-4.945451055624606e-06,3.341513206352935e-11
106,-0.5169482380553173,1.536755707666196,1.2535753449181837,0.32200001251428834,0.05593138985119375,0.003354318133731198,0.0,0.05257707171746256,4.462812248845992e-05,0,2,4,0.6902497642457163,2.77277265970724e-06,-4.5816776338092334e-06,2.868003816256774e-11
107,-0.5169454652826576,1.5367511259885622,1.2535779653418475,0.3220013296130717,0.05593138962098359,0.0033546568749152446,0.0,0.05257673274606835,4.1345392566093454e-05,0,2,4,0.6902526690497914,2.5688094051255773e-06,-4.244664373650453e-06,2.4615957404799015e-11
108,-0.5169428964732525,1.5367468813241887,1.253580393011251,0.3220025498222234,0.05593138942339507,0.003354970713919546,0.0,0.05257641870947552,3.830415076680123e-05,0,2,4,0.6902553601793399,2.379851081338452e-06,-3.932442439573691e-06,2.1127794709908085e-11
109,-0.5169405166221712,1.536742948881749,1.2535826421063891,0.3220036802702795,0.0559313892538055,0.003355261480538079,0.0,0.05257612777326742,3.5486629764682255e-05,0,2,4,0.6902578533535977,2.204793605949523e-06,-3.6431878898521284e-06,1.8133932845601105e-11
110,-0.5169383118285653,1.5367393056938592,1.253584725763918,0.3220047275611541,0.055931389108247166,0.00335553087023493,0.0,0.05257585823801224,3.2876369835320776e-05,0,2,4,0.6902601631351749,2.0426141668321295e-06,-3.3752110085977228e-06,1.556432198710257e-11
